Title,Authors,Link
KU AIGEN ICL EDI@BC8 Track 3: Advancing Phenotype Named Entity Recognition and Normalization for Dysmorphology Physical Examination Reports,"['Hajung Kim', 'Chanhwi Kim', 'Jiwoong Sohn', 'Tim Beck', 'Marek Rei', 'Sunkyu Kim', 'T Ian Simpson', 'Joram M Posma', 'Antoine Lain', 'Mujeen Sung', 'Jaewoo Kang']",https://arxiv.org//pdf/2501.09744
The Goofus & Gallant Story Corpus for Practical Value Alignment,"['Md Sultan Al Nahian', 'Tasmia Tasrin', 'Spencer Frazier', 'Mark Riedl', 'Brent Harrison']",https://arxiv.org//pdf/2501.09707
Towards Large Reasoning Models: A Survey of Reinforced Reasoning with Large Language Models,"['Fengli Xu', 'Qianyue Hao', 'Zefang Zong', 'Jingwei Wang', 'Yunke Zhang', 'Jingyi Wang', 'Xiaochong Lan', 'Jiahui Gong', 'Tianjian Ouyang', 'Fanjin Meng', 'Chenyang Shao', 'Yuwei Yan', 'Qinglong Yang', 'Yiwen Song', 'Sijian Ren', 'Xinyuan Hu', 'Yu Li', 'Jie Feng', 'Chen Gao', 'Yong Li']",https://arxiv.org//pdf/2501.09686
Reward-Guided Controlled Generation for Inference-Time Alignment in Diffusion Models: Tutorial and Review,"['Masatoshi Uehara', 'Yulai Zhao', 'Chenyu Wang', 'Xiner Li', 'Aviv Regev', 'Sergey Levine', 'Tommaso Biancalani']",https://arxiv.org//pdf/2501.09685
Monte Carlo Tree Search with Velocity Obstacles for safe and efficient motion planning in dynamic environments,"['Lorenzo Bonanni', 'Daniele Meli', 'Alberto Castellini', 'Alessandro Farinelli']",https://arxiv.org//pdf/2501.09649
NS-Gym: Open-Source Simulation Environments and Benchmarks for Non-Stationary Markov Decision Processes,"['Nathaniel S. Keplinger', 'Baiting Luo', 'Iliyas Bektas', 'Yunuo Zhang', 'Kyle Hollins Wray', 'Aron Laszka', 'Abhishek Dubey', 'Ayan Mukhopadhyay']",https://arxiv.org//pdf/2501.09646
CarMem: Enhancing Long-Term Memory in LLM Voice Assistants through Category-Bounding,"['Johannes Kirmayr', 'Lukas Stappen', 'Phillip Schneider', 'Florian Matthes', 'Elisabeth André']",https://arxiv.org//pdf/2501.09645
Electronic Health Records: Towards Digital Twins in Healthcare,"['Muhammet Alkan', 'Hester Huijsdens', 'Yola Jones', 'Fani Deligianni']",https://arxiv.org//pdf/2501.09640
Platform-Aware Mission Planning,"['Stefan Panjkovic', 'Alessandro Cimatti', 'Andrea Micheli', 'Stefano Tonetta']",https://arxiv.org//pdf/2501.09632
Artificial Intelligence-Driven Clinical Decision Support Systems,"['Muhammet Alkan', 'Idris Zakariyya', 'Samuel Leighton', 'Kaushik Bhargav Sivangi', 'Christos Anagnostopoulos', 'Fani Deligianni']",https://arxiv.org//pdf/2501.09628
AI in Support of Diversity and Inclusion,"['Çiçek Güven', 'Afra Alishahi', 'Henry Brighton', 'Gonzalo Nápoles', 'Juan Sebastian Olier', 'Marie Šafář', 'Eric Postma', 'Dimitar Shterionov', 'Mirella De Sisto', 'Eva Vanmassenhove']",https://arxiv.org//pdf/2501.09534
